year,month,day,hour,minute,second,recnt_Temp,recnt_Humid,Target_Temperature
2020,02,22,17,30,00,76.8,53.6,76.0
2020,02,22,17,40,00,76.0,55.4,76.0
2020,02,22,17,50,00,76.0,56.2,75.4
2020,02,22,18,00,00,75.4,57.2,75.2
2020,02,22,18,10,00,75.2,58.0,75.0
2020,02,22,18,20,00,75.0,59.0,75.0
2020,02,22,18,30,00,75.0,59.6,75.0
2020,02,22,18,40,00,75.0,60.0,74.8
2020,02,22,18,50,00,74.8,60.6,74.2
2020,02,22,19,00,00,74.2,61.6,74.2
2020,02,22,19,10,00,74.2,62.0,74.0
2020,02,22,19,20,00,74.0,62.6,74.0
2020,02,22,19,30,00,74.0,63.0,74.0
2020,02,22,19,40,00,74.0,63.4,74.0
2020,02,22,19,50,00,74.0,63.8,73.0
2020,02,22,20,00,00,73.0,64.8,73.0
2020,02,22,20,10,00,73.0,65.4,73.0
2020,02,22,20,20,00,73.0,64.6,73.0
2020,02,22,20,30,00,73.0,64.2,73.0
2020,02,22,20,40,00,73.0,64.0,73.2
2020,02,22,20,50,00,73.2,63.4,73.0
2020,02,22,21,00,00,73.0,63.2,73.0
2020,02,22,21,10,00,73.0,63.2,73.0
2020,02,22,21,20,00,73.0,63.0,73.0
2020,02,22,21,30,00,73.0,63.0,73.0
2020,02,22,21,40,00,73.0,62.4,73.0
2020,02,22,21,50,00,73.0,62.6,72.8
2020,02,22,22,00,00,72.8,63.2,73.0
2020,02,22,22,10,00,73.0,62.6,73.0
2020,02,22,22,20,00,73.0,62.8,73.0
2020,02,22,22,30,00,73.0,63.2,73.0
2020,02,22,22,40,00,73.0,62.4,73.0
2020,02,22,22,50,00,73.0,62.2,73.0
2020,02,22,23,00,00,73.0,62.0,72.8
2020,02,22,23,10,00,72.8,62.0,72.6
2020,02,22,23,20,00,72.6,62.4,72.0
2020,02,22,23,30,00,72.0,63.2,71.8
2020,02,22,23,40,00,71.8,63.6,71.4
2020,02,22,23,50,00,71.4,64.6,71.2
2020,02,23,00,00,00,71.2,65.2,71.0
2020,02,23,00,10,00,71.0,65.0,71.0
2020,02,23,00,20,00,71.0,65.8,71.0
2020,02,23,00,30,00,71.0,65.8,71.2
2020,02,23,00,40,00,71.2,65.2,71.0
2020,02,23,00,50,00,71.0,65.6,72.0
2020,02,23,01,00,00,72.0,65.0,71.0
2020,02,23,01,10,00,71.0,65.6,71.0
2020,02,23,01,20,00,71.0,66.0,71.0
2020,02,23,01,30,00,71.0,65.6,71.0
2020,02,23,01,40,00,71.0,65.2,71.0
2020,02,23,01,50,00,71.0,65.0,71.6
2020,02,23,02,00,00,71.6,64.0,72.0
2020,02,23,02,10,00,72.0,64.0,72.2
2020,02,23,02,20,00,72.2,63.2,72.8
2020,02,23,02,30,00,72.8,62.4,73.0
2020,02,23,02,40,00,73.0,61.0,73.0
2020,02,23,02,50,00,73.0,60.4,73.8
2020,02,23,03,00,00,73.8,58.8,74.0
2020,02,23,03,10,00,74.0,57.4,75.0
2020,02,23,03,20,00,75.0,56.0,75.2
2020,02,23,03,30,00,75.2,55.2,75.6
2020,02,23,03,40,00,75.6,54.6,76.2
2020,02,23,03,50,00,76.2,53.8,77.0
2020,02,23,04,00,00,77.0,52.0,77.4
2020,02,23,04,10,00,77.4,50.6,78.0
2020,02,23,04,20,00,78.0,49.8,78.6
2020,02,23,04,30,00,78.6,48.2,79.0
2020,02,23,04,40,00,79.0,47.0,79.8
2020,02,23,04,50,00,79.8,46.0,80.4
2020,02,23,05,00,00,80.4,44.8,81.0
2020,02,23,05,10,00,81.0,42.0,82.0
2020,02,23,05,20,00,82.0,40.2,83.0
2020,02,23,05,30,00,83.0,40.4,84.0
2020,02,23,05,40,00,84.0,39.6,85.0
2020,02,23,05,50,00,85.0,37.4,85.8
2020,02,23,06,00,00,85.8,35.0,86.4
2020,02,23,06,10,00,86.4,33.8,87.4
2020,02,23,06,20,00,87.4,33.0,88.2
2020,02,23,06,30,00,88.2,29.8,88.8
2020,02,23,06,40,00,88.8,30.6,88.2
2020,02,23,06,50,00,88.2,30.2,88.8
2020,02,23,07,00,00,88.8,29.4,88.8
2020,02,23,07,10,00,88.8,29.2,89.0
2020,02,23,07,20,00,89.0,29.0,89.0
2020,02,23,07,30,00,89.0,28.4,89.4
2020,02,23,07,40,00,89.4,28.8,89.8
2020,02,23,07,50,00,89.8,28.2,91.0
2020,02,23,08,00,00,91.0,27.8,91.2
2020,02,23,08,10,00,91.2,27.0,91.4
2020,02,23,08,20,00,91.4,26.0,91.6
2020,02,23,08,30,00,91.6,25.6,91.6
2020,02,23,08,40,00,91.6,25.6,92.8
2020,02,23,08,50,00,92.8,25.0,92.6
2020,02,23,09,00,00,92.6,24.6,93.0
2020,02,23,09,10,00,93.0,24.0,93.6
2020,02,23,09,20,00,93.6,23.6,95.0
2020,02,23,09,30,00,95.0,22.8,94.0
2020,02,23,09,40,00,94.0,22.8,94.2
2020,02,23,09,50,00,94.2,21.8,94.0
2020,02,23,10,00,00,94.0,22.8,93.8
2020,02,23,10,10,00,93.8,23.0,93.2
2020,02,23,10,20,00,93.2,22.4,94.0
2020,02,23,10,30,00,94.0,22.0,94.0
2020,02,23,10,40,00,94.0,22.0,94.0
2020,02,23,10,50,00,94.0,22.2,93.4
2020,02,23,11,00,00,93.4,22.8,93.4
2020,02,23,11,10,00,93.4,22.8,93.0
2020,02,23,11,20,00,93.0,23.0,92.4
2020,02,23,11,30,00,92.4,23.4,91.2
2020,02,23,11,40,00,91.2,23.6,90.2
2020,02,23,11,50,00,90.2,24.8,89.6
2020,02,23,12,00,00,89.6,25.6,89.0
2020,02,23,12,10,00,89.0,26.0,89.0
2020,02,23,12,20,00,89.0,26.0,88.0
2020,02,23,12,30,00,88.0,27.0,87.0
2020,02,23,12,40,00,87.0,27.0,87.0
2020,02,23,12,50,00,87.0,27.4,86.6
2020,02,23,13,00,00,86.6,28.6,86.0
2020,02,23,13,10,00,86.0,29.2,85.6
2020,02,23,13,20,00,85.6,30.2,85.2
2020,02,23,13,30,00,85.2,30.8,85.0
2020,02,23,13,40,00,85.0,31.2,85.0
2020,02,23,13,50,00,85.0,31.8,84.8
2020,02,23,14,00,00,84.8,32.0,84.0
2020,02,23,14,10,00,84.0,32.2,83.8
2020,02,23,14,20,00,83.8,32.8,83.2
2020,02,23,14,30,00,83.2,34.0,83.0
2020,02,23,14,40,00,83.0,34.8,82.8
2020,02,23,14,50,00,82.8,35.8,82.2
2020,02,23,15,00,00,82.2,37.2,82.2
2020,02,23,15,10,00,82.2,38.8,82.0
2020,02,23,15,20,00,82.0,40.2,82.0
2020,02,23,15,30,00,82.0,41.4,81.2
2020,02,23,15,40,00,81.2,42.6,81.2
2020,02,23,15,50,00,81.2,43.2,80.6
2020,02,23,16,00,00,80.6,43.0,80.2
2020,02,23,16,10,00,80.2,43.2,79.8
2020,02,23,16,20,00,79.8,44.0,79.8
2020,02,23,16,30,00,79.8,44.8,79.6
2020,02,23,16,40,00,79.6,45.2,79.0
2020,02,23,16,50,00,79.0,46.6,78.2
2020,02,23,17,00,00,78.2,48.6,78.0
2020,02,23,17,10,00,78.0,49.6,77.8
2020,02,23,17,20,00,77.8,51.4,77.6
2020,02,23,17,30,00,77.6,52.4,77.8
2020,02,23,17,40,00,77.8,52.8,77.0
2020,02,23,17,50,00,77.0,54.0,77.0
2020,02,23,18,00,00,77.0,55.4,76.8
2020,02,23,18,10,00,76.8,56.4,76.4
2020,02,23,18,20,00,76.4,57.2,76.4
2020,02,23,18,30,00,76.4,57.4,76.0
2020,02,23,18,40,00,76.0,58.8,76.0
2020,02,23,18,50,00,76.0,58.8,76.2
2020,02,23,19,00,00,76.2,58.6,76.0
2020,02,23,19,10,00,76.0,59.8,76.0
2020,02,23,19,20,00,76.0,60.0,75.2
2020,02,23,19,30,00,75.2,61.0,75.2
2020,02,23,19,40,00,75.2,61.6,75.2
2020,02,23,19,50,00,75.2,61.8,75.0
2020,02,23,20,00,00,75.0,62.4,75.0
2020,02,23,20,10,00,75.0,61.8,74.6
2020,02,23,20,20,00,74.6,62.6,74.8
2020,02,23,20,30,00,74.8,63.4,75.0
2020,02,23,20,40,00,75.0,62.6,74.8
2020,02,23,20,50,00,74.8,63.0,74.2
2020,02,23,21,00,00,74.2,63.4,74.0
2020,02,23,21,10,00,74.0,64.0,74.0
2020,02,23,21,20,00,74.0,63.4,74.0
2020,02,23,21,30,00,74.0,63.4,74.2
2020,02,23,21,40,00,74.2,63.0,74.0
2020,02,23,21,50,00,74.0,63.2,74.0
2020,02,23,22,00,00,74.0,63.6,74.0
2020,02,23,22,10,00,74.0,63.2,74.0
2020,02,23,22,20,00,74.0,63.4,74.0
2020,02,23,22,30,00,74.0,64.0,73.6
2020,02,23,22,40,00,73.6,64.2,73.0
2020,02,23,22,50,00,73.0,64.6,73.0
2020,02,23,23,00,00,73.0,65.0,73.0
2020,02,23,23,10,00,73.0,65.0,73.0
2020,02,23,23,20,00,73.0,65.0,72.6
2020,02,23,23,30,00,72.6,65.2,72.6
2020,02,23,23,40,00,72.6,65.4,73.0
2020,02,23,23,50,00,73.0,65.0,72.8
2020,02,24,00,00,00,72.8,64.8,72.0
2020,02,24,00,10,00,72.0,66.0,72.0
2020,02,24,00,20,00,72.0,67.0,72.0
2020,02,24,00,30,00,72.0,66.2,72.0
2020,02,24,00,40,00,72.0,66.0,71.8
2020,02,24,00,50,00,71.8,66.6,72.0
2020,02,24,01,00,00,72.0,66.2,72.0
2020,02,24,01,10,00,72.0,66.0,72.0
2020,02,24,01,20,00,72.0,66.0,72.0
2020,02,24,01,30,00,72.0,65.6,72.0
2020,02,24,01,40,00,72.0,66.0,72.0
2020,02,24,01,50,00,72.0,66.0,71.2
2020,02,24,02,00,00,71.2,67.0,71.8
2020,02,24,02,10,00,71.8,66.2,72.0
2020,02,24,02,20,00,72.0,65.0,72.4
2020,02,24,02,30,00,72.4,64.0,73.0
2020,02,24,02,40,00,73.0,62.4,73.0
2020,02,24,02,50,00,73.0,61.6,74.0
2020,02,24,03,00,00,74.0,59.8,74.0
2020,02,24,03,10,00,74.0,58.2,74.4
2020,02,24,03,20,00,74.4,56.4,74.6
2020,02,24,03,30,00,74.6,56.0,75.6
2020,02,24,03,40,00,75.6,54.4,76.2
2020,02,24,03,50,00,76.2,52.0,76.8
2020,02,24,04,00,00,76.8,50.4,76.8
2020,02,24,04,10,00,76.8,50.0,78.0
2020,02,24,04,20,00,78.0,48.6,78.8
2020,02,24,04,30,00,78.8,47.4,79.2
2020,02,24,04,40,00,79.2,46.6,80.0
2020,02,24,04,50,00,80.0,45.4,80.2
2020,02,24,05,00,00,80.2,43.6,81.2
2020,02,24,05,10,00,81.2,42.4,81.6
2020,02,24,05,20,00,81.6,40.6,82.0
2020,02,24,05,30,00,82.0,39.8,83.0
2020,02,24,05,40,00,83.0,38.0,83.4
2020,02,24,05,50,00,83.4,38.0,84.0
2020,02,24,06,00,00,84.0,37.6,84.4
2020,02,24,06,10,00,84.4,36.4,85.2
2020,02,24,06,20,00,85.2,34.6,86.4
2020,02,24,06,30,00,86.4,33.6,87.0
2020,02,24,06,40,00,87.0,32.8,87.4
2020,02,24,06,50,00,87.4,30.8,88.0
2020,02,24,07,00,00,88.0,29.8,88.0
2020,02,24,07,10,00,88.0,30.0,87.8
2020,02,24,07,20,00,87.8,30.0,88.2
2020,02,24,07,30,00,88.2,29.8,89.2
2020,02,24,07,40,00,89.2,28.6,89.0
2020,02,24,07,50,00,89.0,27.4,89.2
2020,02,24,08,00,00,89.2,26.0,90.0
2020,02,24,08,10,00,90.0,26.0,90.0
2020,02,24,08,20,00,90.0,25.0,89.6
2020,02,24,08,30,00,89.6,24.0,89.6
2020,02,24,08,40,00,89.6,25.0,91.0
2020,02,24,08,50,00,91.0,24.0,90.6
2020,02,24,09,00,00,90.6,23.8,90.8
2020,02,24,09,10,00,90.8,24.2,91.0
2020,02,24,09,20,00,91.0,23.8,91.8
2020,02,24,09,30,00,91.8,23.2,90.8
2020,02,24,09,40,00,90.8,24.2,90.0
2020,02,24,09,50,00,90.0,25.2,90.2
2020,02,24,10,00,00,90.2,25.0,90.2
2020,02,24,10,10,00,90.2,25.2,90.8
2020,02,24,10,20,00,90.8,25.8,91.0
2020,02,24,10,30,00,91.0,25.6,91.2
2020,02,24,10,40,00,91.2,25.0,91.0
2020,02,24,10,50,00,91.0,25.2,91.2
2020,02,24,11,00,00,91.2,24.8,91.8
2020,02,24,11,10,00,91.8,25.0,91.2
2020,02,24,11,20,00,91.2,25.6,90.2
2020,02,24,11,30,00,90.2,26.2,89.6
2020,02,24,11,40,00,89.6,26.8,89.0
2020,02,24,11,50,00,89.0,27.0,88.8
2020,02,24,12,00,00,88.8,27.0,88.6
2020,02,24,12,10,00,88.6,27.0,87.8
2020,02,24,12,20,00,87.8,27.0,87.4
2020,02,24,12,30,00,87.4,27.6,87.0
2020,02,24,12,40,00,87.0,28.2,86.6
2020,02,24,12,50,00,86.6,29.2,86.0
2020,02,24,13,00,00,86.0,30.0,86.0
2020,02,24,13,10,00,86.0,31.0,85.6
2020,02,24,13,20,00,85.6,31.6,85.0
2020,02,24,13,30,00,85.0,32.6,85.0
2020,02,24,13,40,00,85.0,33.2,84.2
2020,02,24,13,50,00,84.2,34.6,84.0
2020,02,24,14,00,00,84.0,35.6,83.8
2020,02,24,14,10,00,83.8,36.2,83.4
2020,02,24,14,20,00,83.4,37.0,83.0
2020,02,24,14,30,00,83.0,37.6,82.8
2020,02,24,14,40,00,82.8,38.0,82.0
2020,02,24,14,50,00,82.0,38.0,82.0
2020,02,24,15,00,00,82.0,38.0,82.0
2020,02,24,15,10,00,82.0,38.0,82.0
2020,02,24,15,20,00,82.0,38.0,81.2
2020,02,24,15,30,00,81.2,39.0,81.0
2020,02,24,15,40,00,81.0,39.2,80.2
2020,02,24,15,50,00,80.2,40.4,80.0
2020,02,24,16,00,00,80.0,42.0,79.6
2020,02,24,16,10,00,79.6,42.8,79.0
2020,02,24,16,20,00,79.0,44.4,78.6
2020,02,24,16,30,00,78.6,45.6,78.2
2020,02,24,16,40,00,78.2,46.0,78.0
2020,02,24,16,50,00,78.0,46.8,78.0
2020,02,24,17,00,00,78.0,46.8,78.0
2020,02,24,17,10,00,78.0,47.0,78.0
2020,02,24,17,20,00,78.0,47.0,77.8
2020,02,24,17,30,00,77.8,47.4,77.0
2020,02,24,17,40,00,77.0,47.6,77.2
2020,02,24,17,50,00,77.2,47.6,77.0
2020,02,24,18,00,00,77.0,48.0,77.0
2020,02,24,18,10,00,77.0,48.0,77.0
2020,02,24,18,20,00,77.0,48.6,77.0
2020,02,24,18,30,00,77.0,49.0,77.0
2020,02,24,18,40,00,77.0,48.6,77.0
2020,02,24,18,50,00,77.0,48.6,77.0
2020,02,24,19,00,00,77.0,49.0,77.0
2020,02,24,19,10,00,77.0,49.4,76.0
2020,02,24,19,20,00,76.0,50.6,76.0
2020,02,24,19,30,00,76.0,51.8,76.0
2020,02,24,19,40,00,76.0,51.0,76.0
2020,02,24,19,50,00,76.0,51.6,76.0
2020,02,24,20,00,00,76.0,52.0,75.2
2020,02,24,20,10,00,75.2,53.0,75.0
2020,02,24,20,20,00,75.0,53.0,74.2
2020,02,24,20,30,00,74.2,53.6,74.0
2020,02,24,20,40,00,74.0,55.8,74.0
2020,02,24,20,50,00,74.0,57.4,73.4
2020,02,24,21,00,00,73.4,58.8,73.0
2020,02,24,21,10,00,73.0,60.4,73.2
2020,02,24,21,20,00,73.2,61.0,74.0
2020,02,24,21,30,00,74.0,60.6,73.4
2020,02,24,21,40,00,73.4,61.6,73.0
2020,02,24,21,50,00,73.0,63.0,73.0
2020,02,24,22,00,00,73.0,64.0,73.0
2020,02,24,22,10,00,73.0,64.2,73.0
2020,02,24,22,20,00,73.0,65.4,73.0
2020,02,24,22,30,00,73.0,66.0,72.8
2020,02,24,22,40,00,72.8,66.8,72.0
2020,02,24,22,50,00,72.0,68.0,72.0
2020,02,24,23,00,00,72.0,68.0,72.0
2020,02,24,23,10,00,72.0,68.4,72.0
2020,02,24,23,20,00,72.0,69.0,71.4
2020,02,24,23,30,00,71.4,69.0,71.2
2020,02,24,23,40,00,71.2,69.0,72.0
2020,02,24,23,50,00,72.0,68.2,72.0
2020,02,25,00,00,00,72.0,68.0,71.4
2020,02,25,00,10,00,71.4,66.8,71.8
2020,02,25,00,20,00,71.8,65.2,71.0
2020,02,25,00,30,00,71.0,65.0,71.0
2020,02,25,00,40,00,71.0,65.2,71.0
2020,02,25,00,50,00,71.0,66.0,71.0
2020,02,25,01,00,00,71.0,66.8,71.0
2020,02,25,01,10,00,71.0,67.0,71.0
2020,02,25,01,20,00,71.0,66.4,71.0
2020,02,25,01,30,00,71.0,66.2,71.0
2020,02,25,01,40,00,71.0,66.8,70.2
2020,02,25,01,50,00,70.2,67.4,70.6
2020,02,25,02,00,00,70.6,66.6,71.0
2020,02,25,02,10,00,71.0,66.0,72.0
2020,02,25,02,20,00,72.0,64.4,72.2
2020,02,25,02,30,00,72.2,63.0,72.8
2020,02,25,02,40,00,72.8,62.4,73.0
2020,02,25,02,50,00,73.0,62.0,73.4
2020,02,25,03,00,00,73.4,61.2,74.0
2020,02,25,03,10,00,74.0,60.4,74.8
2020,02,25,03,20,00,74.8,58.8,76.0
2020,02,25,03,30,00,76.0,57.0,76.6
2020,02,25,03,40,00,76.6,55.6,77.4
2020,02,25,03,50,00,77.4,54.0,78.4
