year,month,day,hour,minute,second,recnt_Humidity,recnt_Temperature,Target_Humidity
2020.0,02.0,22.0,09.0,40.0,00.0,20.2,94.8,20.0
2020.0,02.0,22.0,09.0,50.0,00.0,20.0,94.0,20.0
2020.0,02.0,22.0,10.0,00.0,00.0,20.0,94.6,20.0
2020.0,02.0,22.0,10.0,10.0,00.0,20.0,94.6,19.8
2020.0,02.0,22.0,10.0,20.0,00.0,19.8,95.0,20.6
2020.0,02.0,22.0,10.0,30.0,00.0,20.6,94.6,20.8
2020.0,02.0,22.0,10.0,40.0,00.0,20.8,94.4,20.6
2020.0,02.0,22.0,10.0,50.0,00.0,20.6,93.8,21.0
2020.0,02.0,22.0,11.0,00.0,00.0,21.0,93.8,21.0
2020.0,02.0,22.0,11.0,10.0,00.0,21.0,93.0,21.0
2020.0,02.0,22.0,11.0,20.0,00.0,21.0,93.0,22.2
2020.0,02.0,22.0,11.0,30.0,00.0,22.2,92.6,23.2
2020.0,02.0,22.0,11.0,40.0,00.0,23.2,91.6,24.0
2020.0,02.0,22.0,11.0,50.0,00.0,24.0,91.0,24.6
2020.0,02.0,22.0,12.0,00.0,00.0,24.6,89.8,25.0
2020.0,02.0,22.0,12.0,10.0,00.0,25.0,89.0,25.8
2020.0,02.0,22.0,12.0,20.0,00.0,25.8,88.2,26.0
2020.0,02.0,22.0,12.0,30.0,00.0,26.0,88.0,27.0
2020.0,02.0,22.0,12.0,40.0,00.0,27.0,87.4,27.4
2020.0,02.0,22.0,12.0,50.0,00.0,27.4,87.0,28.0
2020.0,02.0,22.0,13.0,00.0,00.0,28.0,86.0,28.4
2020.0,02.0,22.0,13.0,10.0,00.0,28.4,86.0,29.0
2020.0,02.0,22.0,13.0,20.0,00.0,29.0,85.6,29.4
2020.0,02.0,22.0,13.0,30.0,00.0,29.4,85.0,30.0
2020.0,02.0,22.0,13.0,40.0,00.0,30.0,85.0,31.0
2020.0,02.0,22.0,13.0,50.0,00.0,31.0,84.6,31.4
2020.0,02.0,22.0,14.0,00.0,00.0,31.4,84.4,32.0
2020.0,02.0,22.0,14.0,10.0,00.0,32.0,84.0,33.0
2020.0,02.0,22.0,14.0,20.0,00.0,33.0,84.0,33.0
2020.0,02.0,22.0,14.0,30.0,00.0,33.0,84.0,33.4
2020.0,02.0,22.0,14.0,40.0,00.0,33.4,83.4,34.4
2020.0,02.0,22.0,14.0,50.0,00.0,34.4,83.0,35.2
2020.0,02.0,22.0,15.0,00.0,00.0,35.2,82.8,36.0
2020.0,02.0,22.0,15.0,10.0,00.0,36.0,82.2,37.2
2020.0,02.0,22.0,15.0,20.0,00.0,37.2,81.8,38.6
2020.0,02.0,22.0,15.0,30.0,00.0,38.6,81.0,39.0
2020.0,02.0,22.0,15.0,40.0,00.0,39.0,81.0,40.8
2020.0,02.0,22.0,15.0,50.0,00.0,40.8,81.0,42.4
2020.0,02.0,22.0,16.0,00.0,00.0,42.4,80.4,43.6
2020.0,02.0,22.0,16.0,10.0,00.0,43.6,79.8,44.8
2020.0,02.0,22.0,16.0,20.0,00.0,44.8,79.0,45.8
2020.0,02.0,22.0,16.0,30.0,00.0,45.8,79.0,47.2
2020.0,02.0,22.0,16.0,40.0,00.0,47.2,78.8,48.8
2020.0,02.0,22.0,16.0,50.0,00.0,48.8,78.2,50.6
2020.0,02.0,22.0,17.0,00.0,00.0,50.6,77.4,51.0
2020.0,02.0,22.0,17.0,10.0,00.0,51.0,77.8,51.2
2020.0,02.0,22.0,17.0,20.0,00.0,51.2,77.0,53.6
2020.0,02.0,22.0,17.0,30.0,00.0,53.6,76.8,55.4
2020.0,02.0,22.0,17.0,40.0,00.0,55.4,76.0,56.2
2020.0,02.0,22.0,17.0,50.0,00.0,56.2,76.0,57.2
2020.0,02.0,22.0,18.0,00.0,00.0,57.2,75.4,58.0
2020.0,02.0,22.0,18.0,10.0,00.0,58.0,75.2,59.0
2020.0,02.0,22.0,18.0,20.0,00.0,59.0,75.0,59.6
2020.0,02.0,22.0,18.0,30.0,00.0,59.6,75.0,60.0
2020.0,02.0,22.0,18.0,40.0,00.0,60.0,75.0,60.6
2020.0,02.0,22.0,18.0,50.0,00.0,60.6,74.8,61.6
2020.0,02.0,22.0,19.0,00.0,00.0,61.6,74.2,62.0
2020.0,02.0,22.0,19.0,10.0,00.0,62.0,74.2,62.6
2020.0,02.0,22.0,19.0,20.0,00.0,62.6,74.0,63.0
2020.0,02.0,22.0,19.0,30.0,00.0,63.0,74.0,63.4
2020.0,02.0,22.0,19.0,40.0,00.0,63.4,74.0,63.8
2020.0,02.0,22.0,19.0,50.0,00.0,63.8,74.0,64.8
2020.0,02.0,22.0,20.0,00.0,00.0,64.8,73.0,65.4
